choice_number,pct,cost
1,10,0
1,20,0
1,30,0
1,40,0
1,50,0
1,60,0
1,70,0
1,80,0
1,90,0
2,10,8
2,20,6
2,30,4
2,40,2
2,50,0
2,60,2
2,70,4
2,80,6
2,90,8
3,10,20
3,20,15
3,30,10
3,40,5
3,50,0
3,60,5
3,70,10
3,80,15
3,90,20
4,10,40
4,20,30
4,30,20
4,40,10
4,50,0
4,60,10
4,70,20
4,80,30
4,90,40
