question,introduction,1,10
pol_scale_position,"In political matters, people talk of 'the left' and 'the right'. How would you place your views on this scale, generally speaking?","Left","Right"
income_equity,"How would you place your views on this scale?","Incomes should be made more equal","We need larger income differences as incentives for individual effort"
private_vs_state,"How would you place your views on this scale?","Private ownership of business and industry should be increased","Government ownership of business and industry should be increased"
government_responsibility,"How would you place your views on this scale?","Governement should take more responsibility to ensure that everyone is provided for","People should take more responsibility to provide for themselves"
competitition,"How would you place your views on this scale?","Competition is good. It stimulates people to work hard and develop new ideas","Compitition is harmful. It brings out the worst in people"
hard_work,"How would you place your views on this scale?","In the long run, hard work usually brings a better life","Hard work doesn't generally bring success-it's more a matter of luck and connections"
wealth,"How would you place your views on this scale?","People can only get rich at the expense of others","Wealth can grow so there's enough for everyone"
